firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Electronic Data Technologies,19871008,EDAT,285664108,11769,3500000,0,1987,0
Electronic Fab Technology,19940303,EFTC,28570P105,80325,3686000,0,1981,0
ELECTRONIC FINANCIAL SYSTEMS,19830525,EFSIA,28570610,32142,1220000,1,1982,0
Electronic Hair Styling,19960522,EHST,285722104,83498,5560308,0,1993,0
Electronic Information Systems,19920710,EISI,285738100,77774,5124470,0,1980,0
ELECTRONIC MAIL CORP OF AMER,19820817,EMCA,28574210,32169,1600000,0,1980,0
Electronic Processing Inc,19970203,EPIQ,285798101,84531,3400000,0,1988,0
Electronic Retailing Systems,19930430,ERSI,285825105,79086,11521300,0,1989,0
Electronic Tele-Communications,19850905,ETCIA,28586100,87549,2250000,1,1980,0
ELECTRONIC THEATRE RESTAUR,19820909,ETRC,28586510,32206,2810000,0,1980,0
Electronics Boutique Hldng Cor,19980728,ELBO,286045109,86259,19544200,0,1977,0
ELECTRONICS CORP OF ISRAEL,19820915,ECILF,28607010,78448,2850000,0,1961,0
Electronics for Imaging,19921002,EFII,286082102,77971,8924505,0,1988,0
Electropharmacology,19950512,EPHI,286128103,81613,2878529,0,1990,0
Electroscope,19960625,ESCP,286135108,83654,5291005,0,1991,0
Electrostar,19951220,ESTR,286164108,82696,7374997,0,1994,0
Elek-Tek,19930813,ELEK,286172101,79483,6300000,0,1979,0
Elephant & Castle Group,19930629,PUBSF,286199104,79298,2300000,0,1977,0
Eleven Biotherapeutics,20140206,EBIO,286221106,14452,15393713,0,2008,0
Elexis,19870227,ELEX,286268107,11142,2238227,0,1980,0
Eliot Savings Bank,19870722,EBKC,286593108,11537,2000000,0,1900,0
Ellett Brothers,19930609,ELET,288398100,79263,4700000,0,1933,0
Ellie Mae Inc,20110414,ELLI,28849P100,12645,20400134,0,1997,0
Ellington Financial LLC,20101007,EFC,28852220,12329,16485670,0,2007,0
Ellington Residential,20130501,EARN,288578107,13894,9133378,0,2012,0
Elmwood Federal Savings Bank,19870709,EFSB,290022102,11497,1350000,0,1915,0
eLong.com,20041027,LONG,290138205,90415,28538900,0,1999,0
Eloqua Inc,20120802,ELOQ,290139104,13551,32037514,0,2006,0
Eloquent Inc,20000216,ELOQ,290140102,87651,15231880,0,1995,0
Elsag Bailey,19931118,EBY,N2925S101,79929,19340000,0,1916,0
Elster Group SE,20100930,ELT,29034810,12101,0,1,2004,0
Eltek Ltd,19970122,ELTK,M40184109,84419,4730700,0,1970,0
Eltrax Systems,19921208,ELTX,290375104,78145,3244893,0,1984,0
Eltron International,19940209,ELTN,290382100,80238,2600000,0,1991,0
Emageon Inc,20050209,EMAG,29076V109,90592,20382992,0,1998,0
Embarcadero Technologies Inc,20000419,EMBT,290787100,88157,25720489,0,1993,0
Embrex,19911107,EMBX,290817105,77099,3707054,0,1985,0
Embryo Development Corp,19951117,EMBR,290818103,82569,4030000,0,1995,0
EMC,19860404,EMCS,268648102,10147,14173448,0,1979,0
EMC INSURANCE,19820204,EMCI,26866410,31238,4973000,0,1974,0
EmCare Holdings,19941207,EMCR,290820109,81152,7051023,0,1974,1
EMCON Associates,19870916,MCON,290843101,75560,2363986,0,1971,0
Emcore Corp,19970306,EMKR,290846104,84607,5494461,0,1984,0
Emdeon Inc,20090811,EM,29084T104,92992,88487776,1,1984,0
Emerald Homes,19870206,EHP,290904101,71845,5200000,0,1984,0
Emerge Energy Services LP,20130508,EMES,29102H108,13895,23219680,1,2012,0
Emerge Interactive Inc,20000204,EMRG,29088W103,87603,32232902,1,1994,0
Emergency Medical Services,20051216,EMS,29100P10,91045,41498370,1,1955,0
Emergent BioSolutions Inc,20061114,EBS,29089Q105,91571,27420404,0,1998,0
Emerging Markets,19931221,EMG,290921105,80081,14007169,0,1993,0
Emeritus,19951120,ESC,291005106,82638,11000000,0,1993,0
Emmis Broadcasting,19940222,EMMS,291525103,80297,10481000,1,1980,0
Emphesys Financial Group,19940314,EFG,29158K104,80386,6500000,0,1993,0
EMPIRE AIRLINES,19800508,EAIR,29159310,32425,420000,0,1974,0
Empire Financial Holdings Co,20020409,EFH,29165810,89366,5000000,0,1990,0
Empire of America FSB,19861126,EOA,292004108,70586,15000000,0,1900,0
EMPIRE OF CAROLINA,19791206,EMP,29200710,61540,1079000,0,1939,.
Empire State Realty Trust,20131002,ESRT,292104106,14196,102379834,0,1934,0
EMPLOYEE BENEFITS,19780425,EBIM,29216410,32513,1463773,0,1969,.
Employee Benefits Plans,19891012,EBPI,292162104,75832,5966415,0,1974,0
Employee Solutions,19930812,ESOL,292166105,79486,3130000,0,1991,0
Employers Holdings Inc,20070130,EIG,292218104,91688,52912292,0,2000,0
EMULEX,19810326,EMLX,29247510,32540,2236000,0,1979,0
Emultek,19980707,EMU,M4052N104,86234,10185022,1,1993,0
En Pointe Technologies,19960508,ENPT,29247F108,83499,7856145,0,1993,0
Enamelon,19961024,ENML,292499100,84077,6899351,0,1992,0
Enanta Pharmaceuticals Inc,20130320,ENTA,29251M106,13825,17900000,0,1995,0
Enbridge Energy Management LLC,20021010,EEQ,29250X10,89541,9000001,1,1981,0
ENCAD,19931216,ENCD,292503109,79962,5140320,0,1981,0
EnClean,19890419,ENCL,292542107,75743,2278580,0,1984,0
Encore Acquisition Co,20010308,EAC,29255W10,88922,30030000,0,1998,1
"Encore Bancshares,Houston,TX",20070717,EBTX,29255V201,92198,9801626,0,2000,0
Encore Computer,19850410,ENCC,29255500,87573,22521809,0,1983,0
Encore Energy Partners LP,20070911,ENP,29257A106,92269,23062247,1,2007,0
Encore Wire,19920716,WIRE,292562105,77785,5851150,0,1989,0
"ENDATA, INC.",19830602,DATA,29257310,32599,4201000,0,1969,0
"ENDEVCO, INC.",19831014,ENDV,29258610,68910,3889000,0,1977,0
Endocardial Solutions Inc,19970319,ECSI,292962107,84605,8009031,0,1992,0
EndoChoice Holdings Inc,20150605,GI,29272U103,15451,24504239,0,2007,0
Endocyte Inc,20110204,ECYT,29269A102,12575,27702357,0,1995,0
Endosonics,19920304,ESON,29264K105,77387,8899434,0,1984,0
"ENDOTRONICS, INC.",19830721,ENDO,29264410,32620,1657000,0,1968,0
EndoVascular Technologies,19960207,EVTI,292956109,83136,8087343,0,1989,0
Endurance Interntl Group Hold,20131025,EIGI,29272B105,14244,128577363,0,1997,0
Endurance Specialty Holdings,20030227,ENH,G30397106,89694,64600000,0,2001,0
Enduro Royalty Trust,20111102,NDRO,29269K100,13079,33000000,1,2011,0
EndWave Corp,20001017,ENWV,29264A107,88727,32500000,0,1991,0
Energous,20140328,WATT,29272C103,14556,8821391,0,2012,0
Energy Biosystems,19930312,ENBC,29265L102,78965,9372854,0,1989,0
"ENERGY FACTORS, INC.",19830928,EFAC,29266710,32652,2372000,0,1982,0
Energy Partners Ltd,20001101,EPL,29270U105,88817,27140000,0,1998,0
Energy Recovery Inc,20080701,ERII,29270J100,92753,47917474,0,1992,0
Energy Research,19920625,ERCC,2.93E+104,77699,3610000,0,1969,0
Energy Transfer Equity LP,20060203,ETE,29273V100,91111,139655127,0,1996,0
EnergySolutions Inc,20071114,ES,292756202,92389,87000000,0,1988,0
EnerNOC Inc,20070517,ENOC,292764107,92038,17408104,0,2001,0
ENERSERV PRODUCTS,19810423,ESPI,29274110,63570,4500000,0,1976,0
EnerSys Inc,20040729,ENS,29275Y102,90249,45945559,0,1914,0
Engage Technologies Inc,19990720,ENGA,292827102,87106,46912000,0,1995,0
Engel General Developers Ltd,19970930,ENGEF,M40515104,85465,8600000,1,1977,0
Engineered Support Systems,19850821,EASI,29286600,87581,2520000,0,1982,0
ENGINEERED SYSTEMS,19840509,ESDC,29286810,67221,1860000,0,1958,0
Engineering Animation,19960228,EAII,292872108,83134,4694547,0,1988,0
Engle Homes,19920121,ENGL,292896107,77268,6300000,0,1969,0
English Greenhouse Products,19870511,EGPC,293232203,11319,3957734,0,1977,0
Enhance Financial Services,19920213,EFS,293310108,77310,18247700,0,1986,0
Enhanced Imaging Technologies,19920303,EITI,293311106,77383,5737900,0,1975,0
Enphase Energy Inc,20120329,ENPH,29355A107,13323,39290870,0,2006,0
Enquirer/Star Group,19910719,ENQ,293554101,76762,53217977,1,1957,0
Enron Global Power,19941115,EPP,29356M100,81058,20840000,0,1980,1
Enron Liquids Pipeline,19920730,ENP,29356N108,77823,6510000,0,1986,0
Enron Oil & Gas,19891004,EOG,293562104,75825,74400000,0,1970,0
ENS BIOLOGICALS,19810423,BIOLF,29356310,78404,6000000,0,1978,.
Ensec International,19960925,ENSC,29357R108,83932,5631250,0,1983,0
ENSECO,19850627,NCCO,29356T10,87600,2108000,0,1973,0
Enserch Exploration Partners,19850423,EP,26842V20,67491,75000000,0,1909,0
Ensign Group Inc,20071108,ENSG,29358P101,92432,20446380,0,1999,0
ENSUN CORP.,19830615,ENSN,29359510,33049,1795000,0,1981,0
EnSys Environmental Products,19931020,ENSY,293598108,79689,5643263,0,1987,0
Entegra Financial Corp,20140930,ENFC,29363J10,15006,0,0,2011,0
Entegris Inc,20000710,ENTG,29362U104,88439,67010000,0,1966,0
Entellus Medical Inc,20150129,ENTL,29363K105,15176,18333524,0,2006,0
ENTENMANNS,19760512,,29362710,33057,5157489,0,1958,.
Enteractive,19941020,ENTR,293636320,80975,0,0,1993,0
Entercom Communications Corp,19990128,ETM,293639100,86560,37157168,1,1968,1
EnteroMedics Inc,20071114,ETRM,29365M109,92433,16309113,0,2002,0
Enterprise Acquisition Corp,20071107,EST.U,29365R207,92477,31250000,0,2007,0
Enterprise GP Holdings LP,20050823,EPE,293716106,90832,87267332,0,1968,0
Enterprise Products Prtnrs LP,19980727,EPD,293792107,86223,66963000,1,1998,0
ENTERPRISE RADIO,19810203,ERSN,29379510,33065,2540000,0,1980,0
Enterprise Systems,19951020,ESIX,293797106,82487,7028589,0,1981,0
Entertainment Marketing,19850710,EMSC,29391100,87645,4000000,0,1981,0
ENTERTAINMENT PUBLCT.,19831202,EPUB,293807103,33081,3960000,0,1962,0
ENTEX ENERGY DEVELOP LTD,19840814,EED,29381310,66528,-9,0,1984,0
Entravision Communications,20000802,EVC,29382R107,88485,107400000,1,1996,0
ENTRE COMPUTER,19831206,ETRE,29382510,33102,9154000,0,1981,0
Entree,19870921,ETRC,293921102,11699,8000000,0,1986,0
EntreMed,19960611,ENMD,29382F103,83651,11994003,0,1991,0
Entronics,19870812,ENTC,293842100,11596,4206250,0,1984,0
Entropic Communications Inc,20071206,ENTR,29384R105,92460,67614775,0,2001,0
Entrust Technologies Inc,19980817,ENTU,293848107,86324,33672040,0,1994,0
Envestnet Inc,20100728,ENV,29404K10,11370,30795117,0,1999,0
Envirogen,19920811,ENVG,294040100,77844,5920000,0,1988,0
Environmental Control Group,19880802,ECGI,293928107,12016,6700000,0,1976,0
Environmental Elements,19900713,NLCO,293940102,76222,6837613,0,1946,0
Environmental Mntrg & Testing,19890223,EMON,294062203,75701,6100000,0,1988,0
Environmental Power,19870127,POWR,29406L102,11048,5476450,0,1982,0
Environmental Technologies,19921217,EVTC,293961108,78146,2781250,0,1989,0
ENVIRONMENTAL TESTING AND C,19820811,ETCC,67083910,33508,3000000,0,1981,0
Enviropact,19860919,VIRO,293914107,75220,1975000,0,1976,0
Envirosafe Services,19870505,ENVI,293920104,11294,3750000,0,1972,0
Envirotest Systems Corp,19930331,ENVI,29409W105,79084,15993319,1,1990,0
ENVIRx,19911112,ENVX,293945200,77214,3269300,0,1988,0
Envision Healthcare Holdings,20130814,EVHC,29413U103,14065,180382885,0,1972,0
Enviva Partners LP,20150429,EVA,29414J107,15313,23810276,1,2013,0
Envivio Inc,20120424,ENVI,29413T106,13374,26657728,0,2000,0
Envoy,19910523,ENVY,293944104,76665,10376990,0,1981,0
ENZO BIOCHEM,19800612,ENZO,29410010,33209,1235000,0,1976,0
Enzymatics,19920514,ENZY,293951109,77610,5717504,0,1985,0
Enzymotec Ltd,20130927,ENZY,M4059L101,14157,20884320,0,1998,0
eOn Communications Corp,20000204,EONC,268763109,87604,10430000,0,1991,0
Eon Labs Inc,20020523,ELAB,2.94E+14,89389,42739629,0,1992,0
"EOTT Energy Partners, LP",19940318,EOT,294103106,80387,10000000,0,1984,0
EP Energy Corp,20140117,EPE,268785102,14392,244753000,1,1980,0
EP MedSystems,19960621,EPMD,26881P103,83653,7587253,0,1993,0
EP Technologies,19930805,EPTK,268913100,79484,8666395,0,1987,0
EPAM Systems Inc,20120207,EPAM,29414B104,13210,42025981,0,1993,0
Epic Design Technology,19941026,EPIC,29425G100,80976,5462854,0,1986,0
Epigen,19911210,EPIG,294259106,77215,4386668,0,1987,0
Epitope,19861112,EPTO,294261102,10860,1245812,0,1978,0
EPIX Medical Inc,19970130,EPIX,26881Q101,84420,8289969,0,1988,0
Epizyme Inc,20130530,EPZM,29428V104,13924,28415064,0,2007,0
Epocrates Inc,20110201,EPOC,29429D103,12576,22282384,0,1998,0
Eprise Corp,20000324,EPRS,294352109,87765,25116000,0,1992,0
EPSILON DATA MGMT.,19840118,EPSI,29437010,33241,2742000,0,1970,0
EQK Green Acres LP,19860820,EGA,268818101,69921,10172539,0,1986,0
EQT GP Holdings LP,20150512,EQGP,26885J103,15349,266165000,1,2015,0
EQT Midstream Partners LP,20120626,EQM,26885B100,13432,19214718,1,2012,0
EqualNet Holdings,19950308,ENET,294408109,81485,5810000,0,1990,0
Equant NV,19980720,ENT,294409107,86224,197557680,0,1991,0
EQUATORIAL COMMUNIC.,19830913,EQUA,29441010,33260,10697000,0,1979,0
EquiCredit,19930304,EQCC,294422100,78967,9446823,0,1991,0
Equinix Inc,20000810,EQIX,29444U106,88519,73800000,0,1998,0
Equinox Systems,19930415,EQNX,294436100,79085,3733320,0,1983,0
Equitable Companies,19920715,EQ,29444G107,77815,135500000,0,1900,0
EQUITEC FINANCIAL,19830811,EQTC,29458810,66536,2421000,0,1972,0
Equitrac,19920611,ETRC,294599105,77676,3616600,0,1978,0
Equity Bancshares Inc,20151111,EQBK,29460X109,15838,7285805,1,2003,0
Equity Corp,19941019,ECII,294644109,80972,9252250,0,1990,0
Equity Marketing,19940202,EMAK,294724109,80239,5450000,0,1987,0
EquiVision,19931112,EQVN,294928106,79822,6438527,0,1991,0
ERBAMONT N.V.,19830621,ERB,29480810,65250,42427000,0,1853,0
ERC Environmental and Energy,19881215,ERCE,268906104,12161,5100000,0,1985,0
ERD Waste,19950517,ERDI,268928108,81615,5837500,0,1992,0
Ergo Science,19951214,ERGO,2.95E+110,82695,9768448,0,1990,0
ErgoBilt Inc,19970203,ERGB,29481R107,84421,5250915,0,1995,0
Erickson Air-Crane Inc,20120410,EAC,29482P100,13373,9602970,0,1971,0
Ernst Home Center,19940926,ERNS,295866107,80930,15159000,0,1893,0
ERO,19920407,EROI,268911104,77503,10125000,0,1978,0
eRoom System Technologies Inc,20000802,ERMS,296016108,88520,7020000,0,1993,0
ESafetyWorld Inc,20000218,SFTY,29605M109,87628,3000000,0,1997,0
ESC Medical Systems,19960124,ESCM,M40868107,82818,12540453,0,1992,0
Escagen,19870325,ESN,296053101,71888,3633250,0,1986,0
Eschelon Telecom Inc,20050804,ESCH,296290109,90861,14622540,0,1905,0
ESG Re Ltd,19971212,TEMPA,G31215109,85688,21573800,1,1997,0
Eskimo Pie,19920330,EPIE,296443104,77446,3316478,0,1921,0
Esmor Correctional Services,19940202,ESMR,296507106,80242,3333333,0,1993,0
eSPEED Inc,19991210,ESPD,296643109,87487,50000000,1,1996,0
Esperion Therapeutics Inc,20000809,ESPR,29664R106,88521,24000000,0,1998,0
Esperion Therapeutics Inc,20130625,ESPR,29664W105,13954,15329305,0,1998,0
ESPRIT SYSTEMS,19831007,ETI,29665610,65576,3678000,0,1983,0
ESPS Inc,19990616,ESPS,269129102,87015,15362000,0,1994,0
Esquire Communications,19930518,ESQS,296658107,79162,2750000,0,1993,0
ESS Technology,19951005,ESST,269151106,82488,34830687,0,1970,0
Essef,19870612,ESSF,269145108,11416,4734200,0,1954,0
ESSELTE BUSINESS,19840906,ESB,29668310,66544,19800000,0,1975,0
Essent Group Ltd,20131031,ESNT,G3198U102,14235,83538156,0,2008,0
ESSEX,19811223,ESEX,296744105,33567,1124000,0,1969,0
Essex Communications,19861203,ESSX,296704109,10907,3578965,1,1953,0
Essex International,19970417,SXC,297025108,84662,25793956,0,1930,0
Estee Lauder,19951116,EL,518439104,82642,115000000,1,1946,0
Etec Systems,19951024,ETEC,26922C103,82489,16866717,0,1989,0
eTelecare Global Solutions,20070327,ETEL,29759R102,91896,55366066,1,1999,0
Ethan Allen Interiors,19930316,ETH,297602104,79037,11823058,0,1932,0
ETINUUM INC,20000324,ETIN,297664104,87766,17975000,0,1996,0
eToys Inc,19990519,ETYS,297862104,86891,110104680,0,1996,0
Etsy Inc,20150416,ETSY,29786A106,15291,110962515,0,2006,0
Euphonix,19950822,EUPH,298416108,82173,5228682,0,1988,0
Eurand NV,20070516,EURX,N31010106,92039,43857412,0,1984,0
Euro Tech Holdings Company Ltd,19970314,CLWTF,G32030101,84601,2050000,0,1971,0
Eurobancshares Inc,20040811,EUBK,298716101,90318,18982930,0,1979,0
EuroMed,19960319,EMED,298735101,83258,3000300,0,1994,0
Euronet Services Inc,19970306,EEFT,298736109,84606,12624219,0,1994,0
Europa Cruises,19890622,KRUZ,298738105,75781,9850000,0,1987,0
EV Environmental,19930216,EVEN,269262101,78883,1836864,0,1990,0
ev3 Inc,20050616,EVVV,26928A200,90725,48909653,0,2000,0
EVANS & SUTHERLAND,19780907,ESCC,29909610,33612,1024136,0,1968,.
Evans Systems,19930716,EVSI,299211102,79381,2754205,0,1968,0
EverBank Financial Corp,20120502,EVER,29977G102,13384,116062343,0,2004,0
Everbridge Inc,20160916,EVBG,29978A104,16287,26923604,0,2002,0
Evercore Partners Inc,20060810,EVR,29977A105,91413,27132067,1,1996,0
EVEREN Capital,19961007,EVR,299761106,84027,15748000,0,1990,0
Everest Medical,19901206,EVMD,299806109,76549,3332551,0,1983,0
Everex Systems,19870723,EVRX,300072105,11549,22591132,0,1983,0
Evergreen Global Dividend,20070327,EOD,30024H101,91856,43500000,0,2006,0
Evergreen Income Adv Fund,20030226,EAD,30023Y105,89688,0,0,1932,0
Evergreen Media,19930510,EVGM,300248101,79163,7793466,1,1988,0
Evergreen Solar Inc,20001101,ESLR,30033R108,88799,14109000,0,1994,0
EverSpin Technologies,20161007,MRAM,30041T104,16392,10580007,0,2008,0
Evertec Inc,20130411,EVTC,30040P103,13837,79096144,0,1988,0
Everyday Health,20140328,EVDY,300415106,14506,29678020,0,2002,0
Evoke Communications Inc,20000724,EVOK,30048Q202,88440,46700000,0,1997,0
Evoke Pharma,20130925,EVOK,30049G104,14158,5781752,0,2007,0
Evolent Health Inc,20150605,EVH,30050B101,15452,67251344,1,2011,0
Evolve Software Inc,20000809,EVLV,30049P104,88522,36555000,0,1995,0
Evolving Systems Inc,19980511,EVOL,30049R100,86062,11025747,0,1985,0
EW Scripps,19880629,EWSC,811039106,11936,81266717,1,1900,0
Exa Corp,20120628,EXA,300614500,13454,13193161,0,1991,0
Exabyte,19891019,EXBT,300615101,75834,18713004,0,1985,0
Exact Sciences Corp,20010130,EXAS,30063P10,88863,18640000,0,1995,0
Exactech,19960530,EXAC,3.01E+113,83503,4575350,0,1985,0
Exactis.com Inc,19991119,XACT,30064G104,87431,12070746,0,1996,0
ExactTarget Inc,20120321,ET,30064K105,13294,64476784,0,2000,0
Examworks Group Inc,20101027,EXAM,30066A10,12330,30439451,0,2007,0
EXAR,19850801,EXAR,30064500,87696,5500000,0,1971,0
Excel Bancorp,19860917,XCEL,300652104,10670,6400000,0,1986,0
Excel Communications,19960510,ECI,300903101,83447,92485549,0,1988,0
EXCEL INDUSTRIES,19840419,EXC,30065710,66149,1986000,0,1935,0
Excel Switching Corp,19971104,XLSW,30067V108,85588,32589600,0,1988,0
Excel Technology,19910513,XLTC,30067T103,77010,3021250,0,1985,0
Excel Trust Inc,20100422,EXL,30068C10,93315,15604935,0,2009,0
Excelan,19870226,EXLN,300680105,11135,7700565,0,1982,0
Excelsior-Henderson Motorcycle,19970723,BIGX,300906104,85163,9878231,0,1993,0
Exchange Applications Inc,19981209,EXAP,300867108,86498,9727000,0,1994,0
Excite Inc,19960403,XCIT,300904109,83431,10770059,0,1994,0
EXCO Resources Inc,20060208,XCO,269279402,91109,100000000,0,1955,0
EXE Technologies Inc,20000804,EXEE,301504106,88523,12123000,0,1997,0
ExecuStay Corp,19970827,EXEC,30150K100,85288,6400000,0,1986,0
Executive Risk,19940315,ER,301586103,80388,12494534,0,1986,0
Exel Limited,19910718,XL,G3242A102,76763,43575400,0,1986,0
Exelixis Inc,20000410,EXEL,30161Q104,88159,23622000,0,1994,0
Exfo Electro Optical,20000629,EXFO,302043104,88340,45707264,1,1985,0
Exide,19931028,EX,302051107,79780,13200000,0,1900,0
Exide Electronics Group,19891221,XUPS,302052105,75904,5400000,0,1962,0
ExlService Holdings Inc,20061019,EXLS,302081104,91500,28088676,0,1999,0
Exodus Communications Inc,19980318,EXDS,302088109,85870,17940000,0,1995,0
Exogen,19950720,EXGN,302092101,81862,9475134,0,1993,0
ExOne Co,20130206,XONE,302104104,13799,12798272,0,2005,0
"EXOVIR, INC.",19830929,XOVR,30211610,33794,2868000,0,1981,0
Expedia Inc,19991109,EXPE,302125109,87388,38200000,0,1996,0
Expert Software,19950411,XPRT,302131107,81592,7013193,0,1992,0
EXPLORATION SURVEYS,19810409,ESIIA,30213510,63159,2333334,1,1979,0
Exposaic Industries,19850425,EXPO,30216300,87725,1542055,0,1959,0
Express Cash International,19901212,XPRS,302178108,76539,1123519,0,1988,0
Express Inc,20100512,EXPR,3.02E+14,93373,88735895,0,1980,0
Express Scripts,19920609,ESRX,302182100,77668,7250000,1,1986,0
ExpressJet Holdings Inc,20020418,XJT,30218U10,89367,64000000,0,1996,0
Exstar Financial,19921218,EXTR,302229109,78148,5280000,0,1988,0
Extended Stay America,19951213,STAY,30224P101,82751,18152060,0,1995,0
Extended Stay America,20131113,STAY,30224P200,14279,200450000,0,1995,0
Extended Systems Inc,19980304,XTND,301973103,85894,9723855,0,1984,0
Extensity Inc,20000126,EXTN,302255104,87572,23622000,0,1995,0
Extraction Oil & Gas Inc,20161012,XOG,30227M105,16402,141793564,0,2012,1
Extreme Networks,19990408,EXTR,30226D106,86822,47853000,0,1996,0
Exult Inc,20000602,EXLT,302284104,88342,84608000,0,1998,0
Eye Care Centers of America,19850513,IPRO,30229400,87733,2500730,0,1984,0
Eye Technology,19860212,EYTK,301907200,87816,5400000,0,1985,0
Eyetech Pharmaceuticals Inc,20040129,EYET,302297106,90008,39510063,0,2000,0
EZ Communications,19930812,EZCIA,269288106,79488,8680824,1,1967,0
Ezcony Interamerica,19920806,EZCOF,G3287M102,78777,4500000,0,1982,0
EZCORP,19910827,EZPW,302301106,76798,7609498,1,1976,0
F & M Distributors,19920924,FMDD,302723101,77930,9619310,0,1955,0
F&C International,19911213,FCIN,302364104,77176,6730000,0,1949,0
F5 Networks Inc,19990604,FFIV,315616102,86964,18627000,0,1996,0
FA Tucker Group,19910517,TCK,302396106,76646,3125000,0,1951,0
Fabrinet,20100624,FN,G3323L10,93427,33743709,0,1999,0
Facebook Inc,20120517,FB,30303M102,13407,2138085037,1,2004,0
Facelifters Home Systems,19851210,FACE,30303100,10097,2270000,0,1978,0
Factory Card Outlet,19961212,FCPY,303053102,84308,6618796,0,1985,0
FactSet Research Systems,19960627,FDS,303075105,83597,6401065,0,1978,0
FAFCO,19810623,FAFO,30239010,33911,2878000,0,1972,0
Failure Group,19900817,FAIL,303132104,76261,7474540,0,1967,0
Fair Issac & Company,19870722,FICI,303250104,11533,5443066,0,1956,0
Fairchild Semiconductor Intl,19990803,FCS,303726103,87139,82967440,1,1964,0
Fairfax Bank & Trust,19931215,FBTC,303770101,79966,1167696,0,1985,0
"Fairfield First Bk & Tr,CT",19851024,FRBK,30436000,87776,500000,0,1980,0
Fairhaven Savings Bank,19861023,FHVN,304864101,10782,2000000,0,1931,0
FairMarket Inc,20000313,FAIM,305158107,87768,26556111,0,1997,0
FAIRMONT FINANCIAL,19830714,FFIC,30518410,67897,2693000,0,1970,0
FairPoint Communications Inc,20050203,FRP,305560104,90555,34925432,0,1991,0
Fairway Group Holdings Corp,20130416,FWM,30603D109,13874,41282328,1,1933,0
Falcon Building Products,19941102,FB,305916108,81059,20070500,1,1929,0
Falcon Cable Systems,19861223,FAL,305902108,70607,5798913,0,1975,0
Falcon Drilling,19950728,FLCN,305914103,81866,28608089,0,1991,0
Falcon Financial Investment Tr,20031217,FLCN,306032103,89929,14108859,.,1997,0
FAMILY ENTERTAINMENT,19820901,FMLY,30700410,34199,1604000,0,1980,0
Family Golf Centers,19941117,FGCI,30701A106,81079,4650000,0,1994,0
FAMILY HEALTH SYSTEMS,19830829,FHSY,30701210,34201,1450000,0,1983,0
FANON/COURIER U.S.A.,19840314,FNON,30723810,34244,1428000,0,1981,0
Farallon Communications,19960612,FRLN,307394106,83657,11056511,0,1986,0
Fargo Electronics Inc,20000210,FRGO,30744P102,87606,11766000,0,1979,0
FARM & HOME SAVING,19831118,FAHS,30764210,34324,6900000,0,1901,0
Farm Family Holdings,19960722,FFH,307901108,83721,4938025,0,1975,0
"FARM FRESH, INC.",19830325,FFSH,30766910,34332,6130000,0,1974,0
Farmland Partners Inc,20140411,FPI,31154R109,14566,5945000,0,2013,0
FARO Technologies Inc,19970917,FARO,311642102,85372,9760000,0,1984,0
Faroudja Inc,19971030,FDJA,311643100,85466,11751895,0,1971,0
Farragut Mortgage,19861120,,311654107,10872,5000000,0,1982,0
Farrel,19920117,FARL,311667109,77267,5842106,0,1900,0
Fashion Channel Network,19871002,FASN,311848105,11756,8000000,0,1986,0
Fashionmall.com,19990521,FASH,31186K106,86892,7500000,0,1994,0
Fastclick Inc,20050331,FSTC,31188F105,90667,19382880,0,2000,0
FastComm Communications,19880411,FSCX,311871107,11477,4339116,0,1983,0
Fastenal,19870820,FAST,311900104,11618,3161572,0,1967,0
Fastnet Corp,20000208,FSST,311877104,87830,14389000,0,1994,0
Fate Therapeutics,20131001,FATE,31189P102,14245,19156609,0,2007,0
Favrille Inc,20050202,FVRL,312088404,90594,20016030,0,2000,0
FaxSav,19961011,FAXX,31210L10,84078,9671180,0,1989,0
FB Financial Corp,20160916,FBK,30257X104,16319,23121176,0,1984,0
FBL Financial Group,19960719,FFG,30239F106,83720,18859800,1,1949,0
FBR Capital Markets Corp,20070607,FBCM,30247C301,92093,64627308,0,1989,0
FCB Financial Holdings Inc,20140801,FCB,30255G103,14851,40446199,1,2009,0
"FCS INDUSTRIES, INC.",19840327,FCSI,30290410,34033,4476000,0,1969,0
FCStone Group Inc,20070316,FCSX,31308T100,91898,17394822,0,1968,0
FDP CORPORATION,19830812,FDPC,30290510,34041,3982000,0,1968,0
Featherlite Mfg,19940928,FTHR,313054108,80932,5700000,0,1988,0
FEDERAL EXPRESS CORP,19780412,FDX,31330910,60628,3383829,0,1971,.
Federated Enhanced Treasury,20100126,FTT,31416210,93205,-9,0,2007,0
Federated Financial S & L,19870128,FEDF,314177106,11050,1200000,0,1986,0
Federated Investors,19980513,FII,314211103,86102,86343000,1,1957,0
FEI,19950601,FEIC,30241L109,81705,6870371,0,1971,0
FelCor Suite Hotels,19940721,FLCO,31430510,80747,5774146,0,1994,0
FemRx,19960327,FMRX,314463100,83262,8380000,0,1992,0
Fenix Parts Inc,20150514,FENX,31446L100,15372,17574894,0,1980,1
Ferrari NV,20151021,RACE,N3167J10,15735,188921600,0,1939,0
Ferrellgas Partners L.P.,19940627,FGP,315293100,80682,14100000,0,1939,0
